#№	Код ASCII	Код Unicode	Выява	Назва па-англійску	Назва па-беларуску	Назва па-руску	Код Морзе	.
193	C1	U+0411	Б	CYRILLIC CAPITAL LETTER BE	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА БЭ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА БЭ	-***	.
194	C2	U+0412	В	CYRILLIC CAPITAL LETTER VE	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ВЭ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ВЭ	*--	.
195	C3	U+0413	Г	CYRILLIC CAPITAL LETTER GHE	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ГЭ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ГЭ	--*	.
196	C4	U+0414	Д	CYRILLIC CAPITAL LETTER DE	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ДЭ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ДЭ	-**	.
197	C5	U+0415	Е	CYRILLIC CAPITAL LETTER IE	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА Е	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА Е	*	.
198	C6	U+0416	Ж	CYRILLIC CAPITAL LETTER ZHE	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ЖЭ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ЖЭ	***-	.
199	C7	U+0417	З	CYRILLIC CAPITAL LETTER ZE	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ЗЭ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ЗЭ	--**	.
200	C8	U+0418	И	CYRILLIC CAPITAL LETTER I	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА І	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА И	**	.
201	C9	U+0419	Й	CYRILLIC CAPITAL LETTER SHORT I	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА І КАРОТКАЕ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА И КРАТКОЕ	*---	.
202	CA	U+041A	К	CYRILLIC CAPITAL LETTER KA	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА КА	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА КА	-*-	.
203	CB	U+041B	Л	CYRILLIC CAPITAL LETTER EL	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ЭЛ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ЭЛЬ	*-**	.
204	CC	U+041C	М	CYRILLIC CAPITAL LETTER EM	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ЭМ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ЭМ	--	.
205	CD	U+041D	Н	CYRILLIC CAPITAL LETTER EN	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ЭН	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ЭН	-*	.
206	CE	U+041E	О	CYRILLIC CAPITAL LETTER O	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА О	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА О	---	.
207	CF	U+041F	П	CYRILLIC CAPITAL LETTER PE	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ПЭ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ПЭ	*--*	.
208	D0	U+0420	Р	CYRILLIC CAPITAL LETTER ER	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ЭР	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ЭР	*-*	.
209	D1	U+0421	С	CYRILLIC CAPITAL LETTER ES	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ЭС	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ЭС	***	.
210	D2	U+0422	Т	CYRILLIC CAPITAL LETTER TE	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ТЭ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ТЭ	-	.
211	D3	U+0423	У	CYRILLIC CAPITAL LETTER U	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА У	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА У	**-	.
212	D4	U+0424	Ф	CYRILLIC CAPITAL LETTER EF	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ЭФ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ЭФ	**-*	.
213	D5	U+0425	Х	CYRILLIC CAPITAL LETTER HA	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ХА	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ХА	****	.
214	D6	U+0426	Ц	CYRILLIC CAPITAL LETTER TSE	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ЦЭ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ЦЭ	-*-*	.
215	D7	U+0427	Ч	CYRILLIC CAPITAL LETTER CHE	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ЧЭ	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ЧЕ	---*	.
216	D8	U+0428	Ш	CYRILLIC CAPITAL LETTER SHA	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ША	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ША	----	.
217	D9	U+0429	Щ	CYRILLIC CAPITAL LETTER SHCHA	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ШЧА	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ЩА	--*-	.
218	DA	U+042A	Ъ	CYRILLIC CAPITAL LETTER HARD SIGN	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА ЦВЁРДЫ ЗНАК	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА ТВЁРДЫЙ ЗНАК	--*--	.
219	DB	U+042B	Ы	CYRILLIC CAPITAL LETTER YERU	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА Ы	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА Ы	-*--	.
220	DC	U+042C	Ь	CYRILLIC CAPITAL LETTER SOFT SIGN	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА МЯККІ ЗНАК	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА МЯГКИЙ ЗНАК	-**-	.
221	DD	U+042D	Э	CYRILLIC CAPITAL LETTER E	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА Э	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА Э	**-**	.
222	DE	U+042E	Ю	CYRILLIC CAPITAL LETTER YU	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА Ю	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА Ю	**--	.
223	DF	U+042F	Я	CYRILLIC CAPITAL LETTER YA	КІРЫЛІЧНАЯ ВЯЛІКАЯ ЛІТАРА Я	КИРИЛЛИЧЕСКАЯ ЗАГЛАВНАЯ БУКВА Я	*-*-	.
224	E0	U+0430	а	CYRILLIC SMALL LETTER A	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА А	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА А	*-	.
225	E1	U+0431	б	CYRILLIC SMALL LETTER BE	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА БЭ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА БЭ	-***	.
226	E2	U+0432	в	CYRILLIC SMALL LETTER VE	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ВЭ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ВЭ	*--	.
227	E3	U+0433	г	CYRILLIC SMALL LETTER GHE	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ГЭ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ГЭ	--*	.
228	E4	U+0434	д	CYRILLIC SMALL LETTER DE	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ДЭ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ДЭ	-**	.
229	E5	U+0435	е	CYRILLIC SMALL LETTER IE	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА Е	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА Е	*	.
230	E6	U+0436	ж	CYRILLIC SMALL LETTER ZHE	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ЖЭ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ЖЭ	***-	.
231	E7	U+0437	з	CYRILLIC SMALL LETTER ZE	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ЗЭ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ЗЭ	--**	.
232	E8	U+0438	и	CYRILLIC SMALL LETTER I	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА І	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА И	**	.
233	E9	U+0439	й	CYRILLIC SMALL LETTER SHORT I	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА І КАРОТКАЕ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА И КРАТКОЕ	*---	.
234	EA	U+043A	к	CYRILLIC SMALL LETTER KA	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА КА	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА КА	-*-	.
235	EB	U+043B	л	CYRILLIC SMALL LETTER EL	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ЭЛ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ЭЛЬ	*-**	.
236	EC	U+043C	м	CYRILLIC SMALL LETTER EM	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ЭМ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ЭМ	--	.
237	ED	U+043D	н	CYRILLIC SMALL LETTER EN	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ЭН	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ЭН	-*	.
238	EE	U+043E	о	CYRILLIC SMALL LETTER O	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА О	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА О	---	.
239	EF	U+043F	п	CYRILLIC SMALL LETTER PE	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ПЭ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ПЭ	*--*	.
240	F0	U+0440	р	CYRILLIC SMALL LETTER ER	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ЭР	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ЭР	*-*	.
241	F1	U+0441	с	CYRILLIC SMALL LETTER ES	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ЭС	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ЭС	***	.
242	F2	U+0442	т	CYRILLIC SMALL LETTER TE	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ТЭ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ТЭ	-	.
243	F3	U+0443	у	CYRILLIC SMALL LETTER U	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА У	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА У	**-	.
244	F4	U+0444	ф	CYRILLIC SMALL LETTER EF	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ЭФ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ЭФ	**-*	.
245	F5	U+0445	х	CYRILLIC SMALL LETTER HA	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ХА	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ХА	****	.
246	F6	U+0446	ц	CYRILLIC SMALL LETTER TSE	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ЦЭ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ЦЭ	-*-*	.
247	F7	U+0447	ч	CYRILLIC SMALL LETTER CHE	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ЧЭ	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ЧЕ	---*	.
248	F8	U+0448	ш	CYRILLIC SMALL LETTER SHA	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ША	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ША	----	.
249	F9	U+0449	щ	CYRILLIC SMALL LETTER SHCHA	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ШЧА	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ЩА	--*-	.
250	FA	U+044A	ъ	CYRILLIC SMALL LETTER HARD SIGN	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА ЦВЁРДЫ ЗНАК	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА ТВЁРДЫЙ ЗНАК	--*--	.
251	FB	U+044B	ы	CYRILLIC SMALL LETTER YERU	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА Ы	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА Ы	-*--	.
252	FC	U+044C	ь	CYRILLIC SMALL LETTER SOFT SIGN	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА МЯККІ ЗНАК	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА МЯГКИЙ ЗНАК	-**-	.
253	FD	U+044D	э	CYRILLIC SMALL LETTER E	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА Э	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА Э	**-**	.
254	FE	U+044E	ю	CYRILLIC SMALL LETTER YU	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА Ю	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА Ю	**--	.
255	FF	U+044F	я	CYRILLIC SMALL LETTER YA	КІРЫЛІЧНАЯ МАЛАЯ ЛІТАРА Я	КИРИЛЛИЧЕСКАЯ СТРОЧНАЯ БУКВА Я	*-*-	.
